v_b,i_b,v_g,i_g,v_y,i_y,v_o,i_o,v_r,i_r
-0.886,0.0,-0.625,0.0,-0.444,0.0,-0.325,0.0,-0.279,0.0
-0.862,6e-09,-0.601,4.2e-09,-0.423,1.2e-09,-0.314,2e-10,-0.273,0.0
-0.838,1.24e-08,-0.577,9.2e-09,-0.402,2.8e-09,-0.303,5e-10,-0.268,0.0
-0.815,1.9e-08,-0.553,1.48e-08,-0.381,4.8e-09,-0.291,8e-10,-0.262,0.0
-0.791,2.63e-08,-0.529,2.12e-08,-0.361,7.1e-09,-0.28,1.2e-09,-0.257,1e-10
-0.767,3.42e-08,-0.505,2.82e-08,-0.34,1.02e-08,-0.269,1.6e-09,-0.251,1e-10
-0.743,4.27e-08,-0.481,3.63e-08,-0.319,1.39e-08,-0.258,2e-09,-0.246,1e-10
-0.719,5.17e-08,-0.457,4.51e-08,-0.298,1.82e-08,-0.247,2.6e-09,-0.24,2e-10
-0.696,6.1e-08,-0.433,5.44e-08,-0.277,2.31e-08,-0.235,3.3e-09,-0.235,2e-10
-0.672,7.12e-08,-0.409,6.47e-08,-0.256,2.87e-08,-0.224,3.9e-09,-0.229,2e-10
-0.648,8.2e-08,-0.386,7.5e-08,-0.236,3.45e-08,-0.213,4.6e-09,-0.224,3e-10
-0.624,9.25e-08,-0.362,8.69e-08,-0.215,4.13e-08,-0.202,5.5e-09,-0.218,3e-10
-0.601,1.04e-07,-0.338,9.92e-08,-0.194,4.88e-08,-0.19,6.6e-09,-0.213,3e-10
-0.577,1.16e-07,-0.314,1.12e-07,-0.173,5.69e-08,-0.179,7.7e-09,-0.207,4e-10
-0.553,1.29e-07,-0.29,1.25e-07,-0.152,6.54e-08,-0.168,8.8e-09,-0.202,5e-10
-0.529,1.41e-07,-0.266,1.39e-07,-0.131,7.41e-08,-0.157,1.02e-08,-0.196,5e-10
-0.505,1.54e-07,-0.242,1.53e-07,-0.111,8.32e-08,-0.146,1.17e-08,-0.191,6e-10
-0.482,1.67e-07,-0.218,1.68e-07,-0.09,9.32e-08,-0.134,1.34e-08,-0.185,7e-10
-0.458,1.81e-07,-0.194,1.83e-07,-0.069,1.03e-07,-0.123,1.52e-08,-0.18,7e-10
-0.434,1.95e-07,-0.17,1.98e-07,-0.048,1.14e-07,-0.112,1.7e-08,-0.174,8e-10
