v_b,i_b,v_g,i_g,v_y,i_y,v_o,i_o,v_r,i_r
0.0,2.66e-06,0.0,1.27e-06,0.0,3e-07,0.0,8e-08,0.0,1e-08
0.14,3.41e-06,0.184,1.96e-06,0.184,5.6e-07,0.184,2e-07,0.184,2e-08
0.28,4.19e-06,0.368,2.68e-06,0.368,8.4e-07,0.368,3.1e-07,0.368,3e-08
0.42,5e-06,0.553,3.38e-06,0.553,1.09e-06,0.553,3.8e-07,0.553,4e-08
0.56,5.82e-06,0.737,4.23e-06,0.737,1.28e-06,0.737,4.4e-07,0.737,5e-08
0.7,6.63e-06,0.921,4.9e-06,0.921,1.46e-06,0.921,4.8e-07,0.921,5e-08
0.84,7.42e-06,1.105,5.75e-06,1.105,1.58e-06,1.105,5.2e-07,1.105,5e-08
0.98,8.31e-06,1.289,6.48e-06,1.289,1.68e-06,1.289,5.4e-07,1.289,6e-08
1.12,9.17e-06,1.474,7.24e-06,1.474,1.77e-06,1.474,5.6e-07,1.474,6e-08
1.26,1e-05,1.658,7.93e-06,1.658,1.83e-06,1.658,5.7e-07,1.658,6e-08
1.4,1.09e-05,1.842,8.66e-06,1.842,1.88e-06,1.842,5.8e-07,1.842,6e-08
1.54,1.17e-05,2.026,9.2e-06,2.026,1.92e-06,2.026,5.9e-07,2.026,6e-08
1.68,1.25e-05,2.211,9.8e-06,2.211,1.95e-06,2.211,5.9e-07,2.211,6e-08
1.82,1.36e-05,2.395,1.04e-05,2.395,1.98e-06,2.395,6e-07,2.395,6e-08
1.96,1.42e-05,2.579,1.08e-05,2.579,2e-06,2.579,6e-07,2.579,6e-08
2.1,1.52e-05,2.763,1.13e-05,2.763,2.02e-06,2.763,6.1e-07,2.763,6e-08
2.24,1.6e-05,2.947,1.16e-05,2.947,2.04e-06,2.947,6.1e-07,2.947,6e-08
2.38,1.67e-05,3.132,1.2e-05,3.132,2.05e-06,3.132,6.1e-07,3.132,6e-08
2.52,1.74e-05,3.316,1.24e-05,3.316,2.07e-06,3.316,6.2e-07,3.316,6e-08
2.66,1.82e-05,3.5,1.26e-05,3.5,2.08e-06,3.5,6.2e-07,3.5,6e-08
2.8,1.91e-05,3.7,1.29e-05,3.7,2.1e-06,3.7,6.2e-07,3.7,7e-08
2.92,1.98e-05,3.9,1.3e-05,3.9,2.12e-06,3.9,6.2e-07,3.9,7e-08
,,4.1,1.32e-05,4.1,2.14e-06,4.1,6.2e-07,4.1,7e-08
,,4.3,1.34e-05,4.3,2.14e-06,4.3,6.3e-07,4.3,7e-08
,,4.5,1.35e-05,4.5,2.15e-06,4.5,6.3e-07,4.5,7e-08
,,4.7,1.36e-05,4.7,2.16e-06,4.7,6.3e-07,4.7,7e-08
,,4.9,1.37e-05,4.9,2.18e-06,4.9,6.3e-07,4.9,7e-08
,,5.1,1.38e-05,5.1,2.18e-06,5.1,6.3e-07,5.1,7e-08
,,5.3,1.38e-05,5.3,2.19e-06,5.3,6.3e-07,5.3,7e-08
,,5.5,1.39e-05,5.5,2.2e-06,5.5,6.3e-07,5.5,7e-08
,,5.7,1.4e-05,5.7,2.21e-06,5.7,6.3e-07,5.7,7e-08
,,5.9,1.4e-05,5.9,2.21e-06,5.9,6.3e-07,5.9,7e-08
