Wavelength (nm),Blue,Green,Yellow,Orange,Red,Ultraviolet,Infrared
350.0,164.79,165.79,162.14,162.25,162.91,165.03,155.52
351.0,161.61,160.95,161.11,160.03,161.71,154.63,147.91
352.0,167.62,161.43,168.34,163.16,159.39,150.34,145.76
353.0,167.61,167.23,162.96,159.3,160.46,151.62,150.3
354.0,161.98,163.02,162.24,158.45,159.03,154.91,148.49
355.0,163.71,164.69,167.08,164.91,159.14,161.53,150.58
356.0,164.68,168.69,163.17,156.94,162.39,159.92,149.79
357.0,165.24,166.33,165.46,160.45,156.85,158.42,147.93
358.0,164.69,167.72,158.89,157.65,157.43,150.06,149.06
359.0,165.02,164.06,158.19,157.92,160.02,154.86,150.05
360.0,164.22,162.07,162.64,163.08,164.28,152.49,150.09
361.0,161.53,167.55,160.6,164.96,159.92,153.91,148.95
362.0,161.06,163.94,161.04,164.01,159.99,150.04,144.01
363.0,163.22,166.6,163.7,161.75,158.79,149.39,147.06
364.0,165.15,164.73,165.1,161.76,162.79,159.68,148.87
365.0,170.14,165.13,162.86,161.48,161.49,154.47,150.63
366.0,164.7,165.29,161.85,160.69,165.16,158.82,152.55
367.0,166.87,166.7,166.25,163.5,160.01,158.23,148.29
368.0,172.06,162.21,163.59,166.71,164.94,161.09,155.38
369.0,167.12,163.69,163.5,161.96,164.36,153.58,153.68
370.0,165.94,167.32,162.69,161.75,162.65,156.11,147.7
371.0,162.52,165.65,164.86,164.31,161.75,150.93,152.77
372.0,164.0,165.75,166.18,161.24,171.67,158.56,148.07
373.0,166.06,164.79,165.97,159.92,163.51,155.42,144.59
374.0,165.95,163.42,163.88,161.51,164.59,172.09,155.45
375.0,166.01,169.98,162.01,162.02,163.98,155.06,155.0
376.0,166.68,165.04,159.09,165.48,165.9,162.83,150.37
377.0,165.1,166.59,164.9,160.78,163.49,151.47,151.88
378.0,162.86,165.72,163.25,162.1,163.71,151.38,154.09
379.0,167.01,166.08,167.57,162.22,161.75,152.73,153.6
380.0,169.59,164.3,166.23,159.15,164.78,158.31,149.72
381.0,166.44,168.43,166.82,164.33,167.1,160.79,152.75
382.0,166.2,165.83,168.86,162.78,161.24,159.34,152.66
383.0,167.76,164.69,163.68,161.3,165.19,161.57,151.78
384.0,164.64,163.04,166.25,160.33,164.94,167.62,154.02
385.0,168.04,170.02,165.07,166.02,159.96,162.01,152.03
386.0,171.18,167.82,168.35,163.62,166.25,162.24,150.84
387.0,169.47,166.7,163.92,161.98,160.34,163.52,147.47
388.0,167.62,163.94,165.9,164.21,166.06,177.24,148.24
389.0,165.01,168.88,168.24,164.95,165.08,176.36,155.44
390.0,168.31,171.28,168.3,163.65,170.58,193.79,149.17
391.0,169.6,170.05,168.59,165.52,169.04,206.1,151.43
392.0,172.52,169.91,163.0,169.81,164.91,227.63,155.36
393.0,171.84,169.27,167.07,165.68,164.81,234.75,154.5
394.0,167.56,165.93,165.91,162.28,161.95,256.05,148.21
395.0,169.19,171.87,164.88,163.07,166.04,284.44,148.04
396.0,166.68,169.22,167.11,161.12,164.79,325.16,149.06
397.0,169.99,172.58,161.52,166.34,168.75,369.75,151.35
398.0,169.49,175.48,166.77,159.42,164.52,431.52,153.02
399.0,166.42,169.1,163.48,169.11,165.23,484.21,147.99
400.0,174.82,167.82,167.01,155.93,167.38,588.21,152.76
401.0,168.25,166.98,169.26,167.57,164.95,685.43,150.5
402.0,171.0,174.01,165.99,167.99,167.01,827.91,154.01
403.0,173.9,173.1,167.69,168.41,170.67,969.91,152.47
404.0,168.89,168.36,171.78,164.36,161.01,1137.57,151.34
405.0,172.13,169.89,168.14,164.99,169.86,1287.75,150.87
406.0,169.34,178.34,162.57,166.82,162.63,1516.78,150.56
407.0,170.06,173.26,162.68,163.54,168.13,1627.91,154.58
408.0,169.81,175.94,166.35,165.44,164.23,1659.45,150.25
409.0,167.0,172.98,167.0,165.99,164.99,1701.78,151.98
410.0,172.2,176.28,172.16,168.14,181.84,1774.78,174.53
411.0,167.65,176.82,164.54,165.96,165.2,1502.56,154.95
412.0,172.47,175.34,168.49,169.77,165.7,1346.23,146.14
413.0,165.43,170.37,168.73,163.71,159.77,1201.45,148.71
414.0,169.84,172.23,168.2,171.75,166.42,1026.15,151.34
415.0,168.71,172.35,167.28,163.95,161.72,890.86,147.38
416.0,175.03,175.01,163.97,162.03,167.03,783.24,151.1
417.0,169.95,176.76,170.27,163.33,166.55,685.46,155.68
418.0,175.37,177.72,169.83,165.84,165.15,655.85,151.74
419.0,174.0,178.15,163.17,162.82,165.63,615.92,146.94
420.0,175.54,171.66,169.1,166.58,169.66,585.83,152.61
421.0,176.22,178.55,169.18,166.46,167.5,544.39,152.14
422.0,173.33,176.03,167.52,165.88,162.01,507.77,151.65
423.0,173.18,181.19,163.74,165.11,167.72,459.49,152.05
424.0,174.8,173.45,172.17,168.06,168.97,427.28,145.78
425.0,175.02,183.61,167.98,165.42,168.35,415.77,153.07
426.0,177.94,174.55,164.26,168.14,164.09,357.12,154.02
427.0,176.99,174.99,167.04,161.98,166.99,320.03,149.02
428.0,185.8,178.09,168.14,169.0,166.92,302.11,153.05
429.0,186.04,181.26,167.54,164.45,166.36,282.87,150.52
430.0,187.65,174.08,164.27,164.17,162.31,267.78,147.64
431.0,192.67,179.96,164.78,165.88,168.08,268.13,157.04
432.0,195.77,174.3,169.78,167.52,164.85,244.7,156.32
433.0,200.77,182.89,169.15,165.43,169.49,231.71,150.28
434.0,201.83,181.15,162.09,165.81,164.65,239.52,148.94
435.0,210.67,170.9,167.15,162.32,162.67,225.96,151.48
436.0,219.35,177.8,169.25,165.98,167.44,236.33,153.15
437.0,235.28,177.26,168.91,164.78,168.27,218.29,154.63
438.0,243.85,179.01,170.1,169.99,169.15,233.1,154.28
439.0,257.2,178.07,169.86,165.92,164.28,189.0,150.71
440.0,282.62,177.53,167.3,167.95,169.23,187.18,148.01
441.0,292.05,171.47,166.42,168.61,167.55,180.22,151.32
442.0,318.84,172.02,163.98,164.06,167.14,186.59,151.05
443.0,360.57,173.68,166.76,165.85,169.33,178.63,148.64
444.0,381.66,175.79,170.73,168.05,169.28,182.0,151.64
445.0,425.76,177.79,167.84,168.68,167.82,193.43,154.86
446.0,470.63,174.85,165.88,166.11,164.87,167.19,147.67
447.0,508.65,170.28,164.69,168.05,163.37,169.1,150.36
448.0,583.79,174.36,166.69,168.58,167.45,168.21,152.34
449.0,672.44,174.08,162.5,167.31,159.79,168.81,150.05
450.0,769.91,175.89,166.07,165.78,166.17,173.44,151.31
451.0,874.55,173.66,170.23,168.08,162.75,168.92,151.39
452.0,1010.35,172.07,163.83,166.34,164.09,162.12,152.49
453.0,1167.52,167.65,165.96,168.58,164.56,167.46,155.52
454.0,1344.48,167.86,170.65,167.66,162.91,164.63,150.75
455.0,1557.33,170.97,168.12,163.19,168.75,172.32,147.34
456.0,1814.0,174.33,166.89,169.25,166.31,159.15,146.8
457.0,2091.86,171.19,166.67,163.4,168.26,155.84,148.63
458.0,2378.55,170.36,167.71,165.05,172.04,175.44,155.29
459.0,2724.52,172.7,168.77,170.56,171.7,209.67,157.49
460.0,3002.34,175.01,167.93,170.09,166.01,159.5,151.53
461.0,3163.18,170.53,170.03,166.6,167.29,178.8,153.18
462.0,3434.12,170.8,171.08,164.42,165.23,169.16,152.31
463.0,3606.76,171.46,167.44,168.82,161.3,159.84,148.88
464.0,3863.6,169.63,170.46,167.53,165.91,164.28,152.37
